出来事,年号
日英同盟,1902
日露戦争,1904
ポーツマス条約,1905
韓国併合,1910
関税自主権の回復（条約改正完了）,1911
中華民国の成立／大正元年,1912
第一次世界大戦,1914
対華二十一カ条の要求,1915
ロシア革命,1917
米騒動,1918
ベルサイユ条約／三・一独立運動／五・四運動,1919
国際連盟設立,1920
全国水平社創立／ソ連成立,1922
関東大震災,1923
ラジオ放送開始／治安維持法／普通選挙法,1925
昭和元年,1926
世界恐慌,1929
満州事変,1931
満州国建国／五・一五事件,1932
国際連盟脱退を通告,1933
二・二六事件,1936
日中戦争,1937
国家総動員法,1938
第二次世界大戦,1939
日独伊三国同盟,1940
日ソ中立条約／太平洋戦争,1941
ポツダム宣言受諾,1945
日本国憲法公布,1946
日本国憲法施行,1947
朝鮮戦争／警察予備隊設置,1950
サンフランシスコ平和条約／日米安全保障条約,1951
第五福竜丸事件／自衛隊発足,1954
原水爆禁止世界大会／自由民主党の結成,1955
日ソ共同宣言／国際連合加盟,1956
日米新安全保障条約／国民所得倍増計画,1960
東海道新幹線開通／東京オリンピック,1964
日韓基本条約,1965
公害対策基本法,1967
環境庁（現・環境省）設置,1971
沖縄返還／日中共同声明,1972
第一次石油危機,1973
日中平和友好条約,1978
平成元年／消費税導入／マルタ会談（冷戦終結）,1989
牛肉・オレンジの輸入自由化／ソ連解体,1991
PKO協力法,1992
環境基本法,1993
阪神・淡路大震災,1995
アメリカ同時多発テロ,2001
東日本大震災,2011
令和元年／消費税10㌫,2019
